formula_id,formula_name,expression,required_data,category
fund_balance_trend_5yr,Fund Balance Trend 5Y,(fund_balance_ratio_current-fund_balance_ratio_5yr_prior),fund_balance_ratio_current;fund_balance_ratio_5yr_prior,Liquidity

cash_balance_ratio,Cash Balance Ratio,cash/revenue,cash;revenue,Liquidity

cash_balance_trend_5yr,Cash Balance Trend 5Y,(cash_ratio_current-cash_ratio_5yr_prior),cash_ratio_current;cash_ratio_5yr_prior,Liquidity

net_cash_to_operating_revenue,Net Cash / Operating Revenue,cash_and_investments/operating_revenue,cash_and_investments;operating_revenue,Liquidity

cash_to_opex,Cash & Investments / Operating Expense,cash_and_investments/operating_expense,cash_and_investments;operating_expense,Liquidity

cash_days,Cash Days,cash_and_investments/(operating_expense/365),cash_and_investments;operating_expense,Liquidity

debt_to_capitalization,Debt To Capitalization,debt/(debt+net_assets),debt;net_assets,Debt

mads_burden,MADS Burden,mads/operating_expense,mads;operating_expense,Debt

cash_to_ltd,Cash To Long-Term Debt,cash_and_investments/long_term_debt,cash_and_investments;long_term_debt,Debt

net_direct_debt_per_capita,Net Direct Debt Per Capita,net_direct_debt/population,net_direct_debt;population,Debt

debt_to_full_value,Debt To Full Value,net_direct_debt/full_value,net_direct_debt;full_value,Debt

debt_to_revenue,Debt To Revenue,net_direct_debt/revenue,net_direct_debt;revenue,Debt

fixed_cost_burden_ratio,Fixed Cost Burden Ratio,(debt_service+pension_cost+opeb_cost)/governmental_revenue,debt_service;pension_cost;opeb_cost;governmental_revenue,Debt

npl_per_capita,Net Pension Liability Per Capita,net_pension_liability/population,net_pension_liability;population,Pension

adjusted_npl_to_full_value,Adjusted NPL To Full Value,adjusted_npl/full_value,adjusted_npl;full_value,Pension

adjusted_npl_to_revenue,Adjusted NPL To Revenue,adjusted_npl/revenue,adjusted_npl;revenue,Pension

long_term_liabilities_ratio,Long-Term Liabilities Ratio,(debt+adjusted_npl+adjusted_opeb)/operating_revenue,debt;adjusted_npl;adjusted_opeb;operating_revenue,Pension

fixed_cost_ratio,Fixed Cost Ratio,(debt_service+pension_cost+opeb_cost)/operating_revenue,debt_service;pension_cost;opeb_cost;operating_revenue,Pension

institutional_framework_rating,Institutional Framework Rating,qualitative,manual,Qualitative

industry_risk,Industry Risk Assessment,qualitative,manual,Qualitative

management_assessment,Management Assessment,qualitative,manual,Qualitative

management_governance_assessment,Management & Governance Assessment,qualitative,manual,Qualitative

operational_management_assessment,Operational Management Assessment,qualitative,manual,Qualitative

financial_management_assessment,Financial Management Assessment,qualitative,manual,Qualitative
